txId1,txId2
232344069,27553029
3881097,232457116
232051089,232470704
230473487,7089694
231182296,14660781
43358239,230528714
5488136,27553759
231181128,232453404
230423018,232392936
89273,3906238
230973596,232455956
230423318,230423018
232453639,232453630
89273,51860219
1913117,232909272
206222134,192431356
230432611,230966618
89273,230512979
230918484,40297647
230447404,3877919
231995264,232468876
232440027,232448376
230449513,230449518
232457903,11011839
230391412,232029206
89273,230465219
230452144,2706899
230681119,232472581
89273,232916687
232440137,230639246
89273,232440137
230521269,230521266
232047899,232438397
230597986,3878899
230437630,230649117
1913117,233227310
232361296,232361286
231996124,230473483
230523211,230523207
232035051,232036661
5662056,230522934
40623301,2920819
230528722,230528710
3875116,230520120
232446225,182442258
232037400,232037399
14942862,195237909
232392936,232392931
3876606,232460526
232431910,2758467
232034284,198358107
230470029,230470027
230438482,230438479
89273,5197391
230411274,195237909
230331387,231993291
232440020,232440017
230465231,5530776
3891191,3851887
226890719,230540196
232349072,20299716
214488573,230473461
86353799,232472561
3114489,107227719
230451739,230451730
13285375,230528710
230457093,230457090
1913117,233842379
232448785,232448783
230438482,232440028
3877118,232438397
89273,230872133
232039890,232039888
89273,230453424
232047414,232047419
230339477,232039381
2718195,2865010
7089694,60492027
230473314,230523246
89273,230457870
232679753,231573972
232959353,230579331
231995683,230473477
206225929,11340045
230438474,230438471
230468042,230468036
231995763,230473483
230596505,31188978
59397801,230555921
232072340,230405994
91411167,232029206
232457915,232457913
232901095,57801713
232039861,230468700
3408976,232047756
232034707,71724941
230453424,2717498
230969607,230968958
89273,232941800
232906716,232448383
71369016,230649126
89273,84863672
3402165,232456339
232034945,230438483
14660781,217239370
232058910,232456882
230530295,232467632
230645830,231036638
195498536,232448783
89273,231036727
89273,230446342
230473481,230473461
3881866,232458909
89273,230446331
230338249,230436750
3378829,230442067
232459969,54732579
232453418,231836233
230452750,232429322
230439297,232392089
232468004,182448481
232440111,232444502
73191409,3740213
89273,230421654
89273,230412050
232959352,230579331
232462281,232462210
230432972,232043907
232051671,232051667
232438397,92491280
230461379,3880117
89273,230447409
230345455,232354183
89273,230424162
232002739,230569372
230519614,230519610
231993125,230444451
232354200,230451735
89273,230468417
234074001,232383230
230339760,232014505
230473471,230473461
232047756,232031839
232458515,234472313
232037399,230437633
2855928,151078127
212359535,183140871
230437638,230437634
3420566,3877087
230438487,230438486
230456729,230578985
230468057,3882798
230473317,232907285
230451734,230451730
28798027,230528725
89273,15087677
89273,230469660
3407031,230527751
231995671,230473477
3403763,232351322
230539741,231993291
231188282,151359615
230448375,230456710
89273,232444499
230527759,230527756
230339493,232034950
230538139,230552370
230336050,230601403
231182296,231193137
230456717,232438397
232464796,54735205
230465376,230465367
232669764,232034952
12946183,232383230
232027351,75600727
7089453,230523196
7089467,7089453
3775711,3757070
89273,230466907
89273,27527984
1913117,231590190
230354384,230473578
231996116,230473483
232465856,230521269
230456385,230456384
232350655,232046855
3912534,230527759
230448391,3916897
1913117,2717498
230464776,230464771
230461031,230461033
230456719,232438397
89273,230524982
232895871,232465856
232006979,24673782
232431929,2758467
3878647,3846528
232346257,232029206
232457186,50033867
232448385,232472201
232051527,37231293
230599592,232054853
89273,230470039
230578937,2758467
230326373,230442067
232035283,232035280
230595710,232348091
230588414,230473600
230649655,230649652
36787463,230473483
232644856,230391412
7529721,230473481
230520418,54734928
92491279,232401511
3925879,3881050
231998131,230770487
230339481,232034946
89273,230531648
89273,32879801
230389794,230389787
7757447,230901075
230527319,3913226
230412485,3849610
54732017,230528723
230391411,230456623
232909664,232909676
230437638,232908760
231996121,230473483
89273,230470037
232009711,232469446
232444878,3318945
230406766,2881274
231995755,230473483
230406766,230577403
10734050,232349072
230456718,230456714
232042969,3880653
230966747,234458119
230531168,232386556
231993291,230444452
232360625,230639670
230433276,232047924
3881912,232460292
230438870,3876550
3740213,2881273
232351322,232038325
231994045,232034651
89273,230552326
89273,231034733
231180580,231180581
231177403,2758467
218531044,226889376
89273,232054853
89273,231026136
230647313,232443618
230456618,230531645
232034950,230464782
231996118,230473483
89273,32120805
7398153,14307861
231241751,230523204
1913117,232457891
231995676,230473477
230438474,232444501
230527771,230527765
89273,2718195
3878899,3875041
232353289,232914298
230437634,232439984
230331217,232339043
232432879,2880930
36419682,230529042
230336686,2813778
232472206,232472208
230411642,232029206
232350958,232351007
1913117,232461949
89273,2706899
232351007,34984461
232014220,232029206
3878718,232438397
230436739,232437491
230326754,230569377
230527184,11256536
230414055,212687404
87823623,21696830
89273,230456625
95764515,234029888
229695175,230473477
230456710,2880930
3878618,3878633
230969607,234457549
226889376,195237909
230473598,59397801
141327911,230473483
232440023,230680289
230473314,230579322
232440028,232440024
230438476,232906649
230438476,232440104
232037400,230438468
230530336,2881273
230529053,230529048
232031824,53678687
232034949,230464782
232464260,54732833
89273,230969390
232002810,232002739
5043402,198640224
230537134,230670897
230595336,232037044
3391129,230442067
45874911,230473483
232006979,232448372
230464945,230464795
230473470,230473461
3878899,232464074
230537126,232424841
230349591,230602355
232013266,230453431
232472197,232472206
230461032,232440027
230438854,232438397
232037102,232037100
230436750,80045921
230946548,5043402
232346245,76172036
71373899,231179652
230327318,230524949
219821009,230457090
89273,230468711
230588414,205866484
89273,230963202
3761361,232029206
232679778,232345690
24155910,230683551
89273,230465736
232448771,232448765
89273,105855467
3403739,3404363
3857826,3880822
33453302,232448418
232440098,230681578
232472220,230680288
3875073,3863635
230325162,230602580
232675061,230663643
231178807,230679233
230519614,230539729
89273,230468734
2858652,4932775
89273,73119987
7991441,231176668
230444849,230444448
230339770,230470033
230528694,2865010
3399363,3424818
89273,230468265
230592577,195237910
230472241,232438397
1913117,232916687
232039084,232902113
89273,230555001
230585461,17790701
89273,230529016
232037399,230438468
230468700,230468693
232047417,232014513
89273,232399133
232361286,49960790
36329945,230580829
89273,230439444
230444845,230444448
3875073,231179610
230422126,232398771
3405622,231017514
89273,230439297
230457870,230646172
232037044,230437640
232471941,230523203
28297225,232402715
3385845,232350659
89273,231028817
3863824,231176188
230438467,230439442
231026786,231028826
232471961,232472197
232033982,88055509
232043907,232438397
232037090,230661984
89273,3094131
230468041,232029206
230524976,230681123
89273,230468825
230412050,42094373
232440022,232472197
230437634,232904744
223097307,232431898
230650915,230468042
231028913,232910088
232032777,4961135
3426724,3903393
230326373,212700985
230458605,230626345
3435817,3403731
230464795,19128841
232439984,230681119
230338694,232348759
230465227,232440023
16754007,232438397
89273,230438845
232431898,230578938
60492027,232470342
230336145,95985627
231036727,231177074
207798045,73191409
89273,17790701
230468036,192393975
206786861,230473477
232440097,232443613
230438472,230647313
231177887,2758467
232036658,230437632
234029888,232383230
232009716,232469437
231035659,231029351
3898382,3871340
1913117,230682525
230592577,204236566
89273,16464132
21696456,232027351
232465409,54735206
230465378,232031824
232456339,232456258
231995248,230473480
102874126,232470504
54306935,232926666
230524983,230524980
89273,230520079
89273,230424173
3875654,232459969
232033968,54732017
230682622,230526479
232472244,230527771
232014505,37786466
4860508,4443254
40424704,232359149
30074536,230456734
3391070,3435882
89273,230423455
230336145,232346245
230339756,232037400
231179638,3913231
230602597,230473598
230528714,230528710
231995669,230473477
232042947,232438397
232686009,7089467
230473469,230473461
89273,230468421
232446202,230639246
232443618,232443617
230439442,232906716
230523280,230523277
230468041,230468036
230424227,232402903
227105852,230473483
232907885,118658775
89273,3880165
3898178,195237909
230438486,232443223
89273,232443223
230444454,230444448
232050355,230969607
232448820,232505942
232472206,230524976
232472244,230580831
231176188,230679220
89273,230528695
89273,232473209
232382462,232383230
89273,230557030
230418063,232438397
3423872,3402165
230337461,231993291
232958804,230580831
231997307,230473481
230528723,230528710
3898382,231192284
232346248,232029206
230529178,54735269
231177078,2758467
